id,language,Input,Model Output,Expected,Error Type,Hallucination?,Root Cause Hypothesis,BLEU,BERTScore
cob_syn_2070,COBOL,"      * REFACTOR CANDIDATE BATCH_2070
      * SYSTEM GENERATED
      IDENTIFICATION DIVISION.
       PROGRAM-ID. PRODUCT.
      
      ***************************************************************** 
      *              FINAL EXAM:  FABFIVE TEAM PROJECT
      * 
      *     ENTERPRISE COBOL FOR BUSINESS APPLICATION DEVELOPMENT 
      *      COURSE PROVIDED BY THE IBM CORPORATION SUMMER 2020 
      *             CLASS INSTRUCTOR:  JONATHAN SAYLES 
      ***************************************************************** 
      *****************************************************************
      *                      THE FAB FIVE TEAM   
      *                  TECH-LEAD:  RICHARD DARROW
      *           PROGRAMMER/ANALYST:  AGAPIOS KALOKERINOS
      *             PROGRAMMER/ANALYST:  DORETHA RILEY
      *              TESTER:  ROBERTA ADRIANA de SOUZA
      *                 TESTER:  WENDY J. WILSON
      ***************************************************************** 
      *****************************************************************
      ","This COBOL code appears to be the header section of a program called 'PRODUCT'. It includes identifying information such as the program ID, a reference to a team project for a course on enterprise COBOL provided by IBM in summer 2020, and details about the team members involved in the project.",Legacy COBOL logic requiring documentation.,No Error,False,The generated documentation accurately and entirely reflects the crucial details provided in the source code.,0.005965939103175657,0.861547589302063
py_3648,Python,"def _is_name_used_as_variadic(name, variadics):
    """"""Check if the given name is used as a variadic argument.""""""
    return any(
        variadic.value == name or variadic.value.parent_of(name)
        for variadic in variadics
    )",Check if the given name is used as a variadic argument.,Check if the given name is used as a variadic argument.,No Error,False,"The documentation is accurate, it explains what the function does - checks if a given name is used as a variadic argument.",1.0,0.9999999403953552
py_819,Python,"def download(directory, filename):
  """"""Downloads a file.""""""
  filepath = os.path.join(directory, filename)
  if tf.io.gfile.exists(filepath):
    return filepath
  if not tf.io.gfile.exists(directory):
    tf.io.gfile.makedirs(directory)
  url = os.path.join(ROOT_PATH, filename)
  print(""Downloading %s to %s"" % (url, filepath))
  urllib.request.urlretrieve(url, filepath)
  return filepath","Downloads a file from a URL to the specified directory with the given filename. If the file already exists in the directory, the function returns the file path. If the directory does not exist, it creates the directory.",Downloads a file.,Hallucination,True,"The documentation mentions ""Downloads a file from a URL..."", but the source code does not support this claim as it does not show any URL handling.",0.016531706181466276,0.8654110431671143
cob_syn_5417,COBOL,"      * REFACTOR CANDIDATE BATCH_5417
      * SYSTEM GENERATED
pushq	%rbp
movq	%rsp, %rbp
movl	%edi, -0x4(%rbp)
movl	%esi, -0x8(%rbp)
movl	-0x4(%rbp), %esi
addl	-0x8(%rbp), %esi
movl	%esi, -0xc(%rbp)
movl	-0xc(%rbp), %eax
popq	%rbp
retq
",This COBOL code defines a simple procedure that adds two input integer values passed as parameters. The result of the addition is stored in a local variable and then returned.,Legacy COBOL logic requiring documentation.,API Error,False,Rate limit exceeded. Please add your openai key to the header 'provider-key' for unlimited access,0.0092991042878441,0.8792679905891418
py_9012,Python,"def find_in_ns(ns_sym: sym.Symbol, name_sym: sym.Symbol) -> ""Optional[Var]"":
        """"""Return the value current bound to the name `name_sym` in the namespace
        specified by `ns_sym`.""""""
        ns = Namespace.get(ns_sym)
        if ns:
            return ns.find(name_sym)
        return None",Return the value current bound to the name `name_sym` in the namespace specified by `ns_sym`.,"Return the value current bound to the name `name_sym` in the namespace
        specified by `ns_sym`.",No Error,False,The provided documentation accurately represents the function and its operations.,1.0,0.9404147267341614
py_8024,Python,"def _send_offer_assignment_notification_email(config, user_email, subject, email_body, site_code, task):
    """"""Handles sending offer assignment notification emails and retrying failed emails when appropriate.""""""
    try:
        sailthru_client = get_sailthru_client(site_code)
    except SailthruError:
        logger.exception(
            '[Offer Assignment] A client error occurred while attempting to send a offer assignment notification.'
            ' Message: {message}'.format(message=email_body)
        )
        return None
    email_vars = {
        'subject': subject,
        'email_body': email_body,
    }
    try:
        response = sailthru_client.send(
            template=config['templates']['assignment_email'],
            email=user_email,
            _vars=email_vars
        )
    except SailthruClientError:
        logger.exception(
            '[Offer Assignment] A client error occurred while attempting to send a offer assignment notification.'
            ' Message: {message}'.format(message=email_body)
        )
        return None

    if not response.is_ok():
        error = response.get_error()
        logger.error(
            '[Offer Assignment] A {token_error_code} - {token_error_message} error occurred'
            ' while attempting to send a offer assignment notification.'
            ' Message: {message}'.format(
                message=email_body,
                token_error_code=error.get_error_code(),
                token_error_message=error.get_message()
            )
        )
        if can_retry_sailthru_request(error):
            logger.info(
                '[Offer Assignment] An attempt will be made to resend the offer assignment notification.'
                ' Message: {message}'.format(message=email_body)
            )
            schedule_retry(task, config)
        else:
            logger.warning(
                '[Offer Assignment] No further attempts will be made to send the offer assignment notification.'
                ' Failed Message: {message}'.format(message=email_body)
            )

    return response",Handles sending offer assignment notification emails and retrying failed emails when appropriate.,Handles sending offer assignment notification emails and retrying failed emails when appropriate.,No Error,False,The documentation accurately describes the function's behavior without any unsupported claims or omissions.,1.0,1.0000001192092896
py_7314,Python,"def multiply(dists):
        '''
        multiplies a list of Distribution objects
        '''
        if  not all([isinstance(k, Distribution) for k in dists]):
            raise NotImplementedError(""Can only multiply Distribution objects"")

        n_delta = np.sum([k.is_delta for k in dists])
        min_width = np.max([k.min_width for k in dists])
        if n_delta>1:
            raise ArithmeticError(""Cannot multiply more than one delta functions!"")
        elif n_delta==1:
            delta_dist_ii = np.where([k.is_delta for k in dists])[0][0]
            delta_dist = dists[delta_dist_ii]
            new_xpos = delta_dist.peak_pos
            new_weight  = np.prod([k.prob(new_xpos) for k in dists if k!=delta_dist_ii]) * delta_dist.weight
            res = Distribution.delta_function(new_xpos, weight = new_weight,min_width=min_width)
        else:
            new_xmin = np.max([k.xmin for k in dists])
            new_xmax = np.min([k.xmax for k in dists])

            x_vals = np.unique(np.concatenate([k.x for k in dists]))
            x_vals = x_vals[(x_vals>new_xmin-TINY_NUMBER)&(x_vals<new_xmax+TINY_NUMBER)]
            y_vals = np.sum([k.__call__(x_vals) for k in dists], axis=0)
            peak = y_vals.min()
            ind = (y_vals-peak)<BIG_NUMBER/1000
            n_points = ind.sum()
            if n_points == 0:
                print (""ERROR in distribution multiplication: Distributions do not overlap"")
                x_vals = [0,1]
                y_vals = [BIG_NUMBER,BIG_NUMBER]
                res = Distribution(x_vals, y_vals, is_log=True,
                                   min_width=min_width, kind='linear')
            elif n_points == 1:
                res = Distribution.delta_function(x_vals[0])
            else:
                res = Distribution(x_vals[ind], y_vals[ind], is_log=True,
                                   min_width=min_width, kind='linear', assume_sorted=True)

        return res","```plaintext
This function multiplies a list of Distribution objects. It checks if all elements in the input list are instances of the Distribution class. It then calculates the product of the distributions, handling cases where there are delta functions and overlapping distributions. The function returns the resulting Distribution object after the multiplication.
```",multiplies a list of Distribution objects,No Error,False,The documented behavior accurately reflects the functionality of the implemented code.,0.06428216024520217,0.8572759628295898
py_4572,Python,"def _format_decoded(self, to_format, result=None):  # pragma: no cover
        """"""
        Format the exctracted adblock line before passing it to the system.

        :param to_format: The extracted line from the file.
        :type to_format: str

        :param result: A list of the result of this method.
        :type result: list

        :return: The list of domains or IP to test.
        :rtype: list
        """"""

        if not result:
            # The result is not given.

            # We set the result as an empty list.
            result = []

        for data in List(to_format).format():
            # We loop through the different lines to format.

            if data:
                # The currently read line is not empty.

                if ""^"" in data:
                    # There is an accent in the currently read line.

                    # We recall this method but with the current result state
                    # and splited data.
                    return self._format_decoded(data.split(""^""), result)

                if ""#"" in data:
                    # There is a dash in the currently read line.

                    # We recall this method but with the current result state
                    # and splited data.
                    return self._format_decoded(data.split(""#""), result)

                if "","" in data:
                    # There is a comma in the currently read line.

                    # We recall this method but with the current result state
                    # and splited data.
                    return self._format_decoded(data.split("",""), result)

                if ""!"" in data:
                    # There is an exclamation mark in the currently read line.

                    # We recall this method but with the current result state
                    # and splited data.
                    return self._format_decoded(data.split(""!""), result)

                if ""|"" in data:
                    # There is a vertival bar in the currently read line.

                    # We recall this method but with the current result state
                    # and splited data.
                    return self._format_decoded(data.split(""|""), result)

                if data:
                    # The currently read line is not empty.

                    data = self._extract_base(data)

                    if data and (
                        self.checker.is_domain_valid(data)
                        or self.checker.is_ip_valid(data)
                    ):
                        # The extraced base is not empty.
                        # and
                        # * The currently read line is a valid domain.
                        # or
                        # * The currently read line is a valid IP.

                        # We append the currently read line to the result.
                        result.append(data)
                    elif data:
                        # * The currently read line is not a valid domain.
                        # or
                        # * The currently read line is not a valid IP.

                        # We try to get the url base.
                        url_base = self.checker.is_url_valid(data, return_base=True)

                        if url_base:
                            # The url_base is not empty or equal to False or None.

                            # We append the url base to the result.
                            result.append(url_base)

        # We return the result element.
        return result",Format the extracted adblock line before passing it to the system.,"Format the exctracted adblock line before passing it to the system.

        :param to_format: The extracted line from the file.
        :type to_format: str

        :param result: A list of the result of this method.
        :type result: list

        :return: The list of domains or IP to test.
        :rtype: list",API Error,False,Rate limit exceeded. Please add your openai key to the header 'provider-key' for unlimited access,0.03154086557866979,0.8377267718315125
cob_syn_5250,COBOL,"      * REFACTOR CANDIDATE BATCH_5250
      * SYSTEM GENERATED
IDENTIFICATION DIVISION.
PROGRAM-ID. TAPE-READER.
AUTHOR. Kevin Roper.
INSTALLATION. KEYHOLE HQ.
DATE-WRITTEN. 05/25/2020.

ENVIRONMENT DIVISION.
INPUT-OUTPUT SECTION.
FILE-CONTROL.
    SELECT CALCULATOR-TAPE ASSIGN TO ""CALCULATOR-TAPE.DAT""
		ORGANIZATION IS LINE SEQUENTIAL.

DATA DIVISION.
FILE SECTION.
FD CALCULATOR-TAPE.
01 CALCULATION-RECORD.
   88 END-OF-CALC-FILE     VALUE HIGH-VALUES.
   02 F-OPERAND-A            PIC 9(8).
   02 F-OPERAND-B            PIC 9(8).
   02 F-OPERATOR             PIC A.
   02 F-ANSWER               PIC 9(16).
   02 F-ERROR-MESSAGE        PIC X(30).
   02 F-META-DATA.
       05 DATE-OF-CALCULATION.
           10 CALCULATION-YEAR     PIC 9(2).
           10 CALCULATION-MONTH    PIC 9(2).
           10 CALCULATION-DAY      PIC 9(2).

WORKING-STORAGE SECTION.
01 OPERATOR        PIC X VALUE IS ""@"".
01 COUNTER         PIC 999 VALUE IS 000.

PROCEDURE DIVISION.
DISPLAY ""CALCULATOR TAPE""
OPEN INPUT CALCULATOR-TAPE.
    READ CALCULATOR-TAPE
         AT END SET END-OF-CALC-FILE TO TRUE
    END-READ
    PERFORM UNTIL END-OF-CALC-FILE      
       PERFORM GET-OPERATOR
       DISPLAY COUNTER SPACE ""-"" CALCULATION-DAY ""/"" CALCULATION-MONTH ""/"" CALCULATION-YEAR
       DISPLAY SPACE F-OPERAND-A SPACE OPERATOR SPACE F-OPERAND-B SPACE ""="" SPACE F-ANSWER SPACE F-ERROR-MESSAGE
       READ CALCULATOR-TAPE
            AT END SET END-OF-CALC-FILE TO TRUE
       END-READ
       SET COUNTER UP BY 1
    END-PERFORM
    CLOSE CALCULATOR-TAPE
STOP RUN.

GET-OPERATOR.
IF F-OPERATOR=""A"" THEN MOVE ""+"" TO OPERATOR.
IF F-OPERATOR=""S"" THEN MOVE ""-"" TO OPERATOR.
IF F-OPERATOR=""M"" THEN MOVE ""*"" TO OPERATOR.
IF F-OPERATOR=""D"" THEN MOVE ""/"" TO OPERATOR.
","This COBOL program reads input from a file containing calculator tape data. Each record in the file includes two operands, an operator, an answer, an error message, and metadata about the calculation date. The program reads each record, extracts the operator, performs the corresponding arithmetic operation, and displays the calculation along with the error message.",Legacy COBOL logic requiring documentation.,Wrong Logic,True,"The documentation incorrectly claims that the program performs arithmetic operation, but the program only reads and displays the data.",0.005598996258250374,0.8588817119598389
py_3358,Python,"def fetch_items(self, category, **kwargs):
        """"""Fetch the pages

        :param category: the category of items to fetch
        :param kwargs: backend arguments

        :returns: a generator of items
        """"""
        from_date = kwargs['from_date']
        reviews_api = kwargs['reviews_api']

        mediawiki_version = self.client.get_version()
        logger.info(""MediaWiki version: %s"", mediawiki_version)

        if reviews_api:
            if ((mediawiki_version[0] == 1 and mediawiki_version[1] >= 27) or mediawiki_version[0] > 1):
                fetcher = self.__fetch_1_27(from_date)
            else:
                logger.warning(""Reviews API only available in MediaWiki >= 1.27"")
                logger.warning(""Using the Pages API instead"")
                fetcher = self.__fetch_pre1_27(from_date)
        else:
            fetcher = self.__fetch_pre1_27(from_date)

        for page_reviews in fetcher:
            yield page_reviews","Fetch the pages

:param category: the category of items to fetch
:param kwargs: backend arguments

:returns: a generator of items","Fetch the pages

        :param category: the category of items to fetch
        :param kwargs: backend arguments

        :returns: a generator of items",Omission,True,The documentation fails to describe the purpose and usage of `from_date` and `reviews_api` as well as their origin from kwargs. It also doesn't mention the conditional logic that affects which fetch method is used.,1.0,0.8792238831520081
